"ATM_Usage","ATM_Money","Day","Month","Season","Day_Of_Week","Is_Holiday","Date_Importance","HSupervisor","No_Service"
"446","926962000","14","1","1","7","1","1.5","0","N"
"231","587144778","19","2","1","1","0","0.0","0.33","N"
"641","1408360467","11","10","4","6","0","3.0","0.02","N"
"367","1092207784","24","10","4","6","0","0.0","0.01","N"
"549","1072554698","1","11","4","6","0","3.0","0","N"
"513","1391406299","20","8","3","5","0","0.0","0.14","N"
"83","107769000","9","10","4","5","0","0.5","0","N"
"262","389615000","19","9","3","6","1","3.0","0","N"
"512","817441197","7","10","4","3","0","1.5","0.23","N"
"426","1241462984","6","8","3","5","0","0.5","0","N"
"348","550922412","7","9","3","1","0","2.0","0.01","N"
"679","1597472033","17","5","2","1","0","2.0","0.3","N"
"493","744141155","21","2","1","3","0","0.1","0","N"
"279","711801128","13","4","2","1","0","1.5","0.05","N"
"431","805064000","17","4","2","5","1","4.0","0","N"
"338","1397407820","24","9","3","4","0","0.1","0.01","N"
"459","487433000","11","2","1","7","1","2.5","0","N"
"464","859213717","27","11","4","4","0","0.5","0","N"
"137","216486600","19","8","3","4","0","0.1","0","N"
"513","660655000","1","3","1","7","1","3.0","0","N"
"301","460144000","8","10","4","4","1","3.0","0","N"
"687","1226725615","29","11","4","5","0","3.0","0.05","N"
"480","1241933477","27","7","3","3","0","0.5","0.14","N"
"511","1694603000","15","2","1","4","0","1.0","0.1","N"
"173","235948000","25","5","2","2","0","3.0","0","N"
"668","1355731221","14","7","3","4","0","2.0","0.26","N"
"78","70980000","15","11","4","5","0","1.0","0","N"
"566","681654949","6","2","1","2","0","0.0","0.09","N"
"175","167646000","7","11","4","5","0","0.0","0.08","N"
"503","887532172","4","1","1","5","1","5.0","0","N"
"297","1068690336","13","7","3","3","0","2.0","0.13","N"
"456","1020184322","2","10","4","5","0","1.5","0.05","N"
"205","289225321","16","5","2","7","1","0.5","0","N"
"469","1317176150","14","9","3","1","0","0.5","0.27","N"
"150","559354107","4","7","3","1","0","0.1","0","N"
"470","773526388","9","5","2","7","1","0.1","0","N"
"371","431351000","3","2","1","6","0","1.0","0.15","N"
"132","263467000","17","4","2","5","1","4.0","0","N"
"448","872200511","10","1","1","3","0","1.0","0.3","N"
"253","648889710","19","11","4","3","0","2.0","0","N"
"259","580495996","13","10","4","2","0","0.0","0","N"
"174","280966613","16","10","4","4","0","0.1","0","N"
"65","37194000","4","4","2","6","0","0.5","0","N"
"160","296159000","11","5","2","2","0","0.0","0","N"
"1070","1321632898","24","11","4","7","1","0.1","0","N"
"407","1149297624","4","8","3","3","0","3.0","0.18","N"
"767","1812988996","19","8","3","4","0","0.1","0.01","N"
"40","33317000","23","8","3","1","0","1.5","0","N"
"190","274772000","26","12","4","4","0","0.5","0","N"
"202","378825000","20","6","2","7","1","0.5","0","N"
"397","425343370","27","10","4","2","0","0.5","0","N"
"654","601730474","19","11","4","3","0","2.0","0.34","N"
"655","694642953","27","9","3","7","1","0.5","0","N"
"296","548229498","16","10","4","5","0","0.0","0.19","N"
"723","2159710871","27","7","3","3","0","0.5","0.01","N"
"637","1045748351","6","12","4","6","0","0.1","0.03","N"
"456","652121790","7","9","3","1","0","2.0","0.03","N"
"716","972025079","21","12","4","7","1","0.5","0","N"
"313","621256010","18","4","2","6","0","3.0","0.38","N"
"675","665440939","28","9","3","1","0","1.5","0.03","N"
"25","32374000","17","5","2","1","0","2.0","0","N"
"705","1294067334","4","5","2","2","0","0.0","0.02","N"
"336","1072989688","24","5","2","1","0","1.5","0.02","N"
"910","1554366773","29","3","1","7","1","3.0","0.05","N"
"427","378169000","22","11","4","6","1","4.0","0","N"
"293","499409977","20","2","1","2","0","0.0","0.1","N"
"358","529180194","13","12","4","5","0","0.1","0.07","N"
"730","1189333159","12","10","4","1","0","0.5","0","N"
"261","1111765703","28","11","4","5","0","1.5","0","N"
"717","1221221258","27","3","1","5","0","2.0","0.06","N"
"456","622110470","25","10","4","6","0","0.0","0.33","N"
"457","531514408","18","11","4","1","0","0.5","0.3","N"
"275","466872604","8","10","4","4","1","3.0","0","N"
"865","1503003028","11","3","1","3","0","1.5","0.35","N"
"19","13806000","12","1","1","5","1","2.5","0","N"
"331","528538126","22","1","1","1","0","0.5","0","N"
"468","1181485903","19","5","2","3","0","1.5","0.26","N"
"109","185897000","10","11","4","1","0","1.0","0.03","N"
"525","927579127","9","10","4","4","0","0.5","0.03","N"
"195","340747652","20","4","2","1","0","0.0","0.01","N"
"230","629768690","11","9","3","5","1","4.0","0","N"
"675","985988334","24","3","1","2","0","0.5","0.03","N"
"90","226889000","13","1","1","6","1","4.0","0.17","N"
"18","21668000","14","9","3","1","0","0.5","0","N"
"151","310754000","21","3","1","6","0","0.0","0","N"
"561","1084497500","8","11","4","6","0","0.0","0.39","N"
"327","442044416","17","11","4","1","0","0.1","0","N"
"625","865336569","23","11","4","6","0","1.5","0.01","N"
"657","1837315864","17","6","2","4","0","1.0","0.16","N"
"407","629759228","5","1","1","5","0","1.5","0.03","N"
"272","550837375","4","1","1","5","1","5.0","0.02","N"
"709","2123818203","18","12","4","3","0","0.1","0.04","N"
"157","406870100","10","10","4","5","0","2.0","0","N"
"436","939664214","4","7","3","1","0","0.1","0","N"
"671","1224879770","11","12","4","3","0","0.0","0.02","N"
"432","509306627","26","2","1","1","1","4.0","0.06","N"
"473","873641000","20","2","1","2","0","0.0","0","N"
"596","780238000","21","12","4","7","1","0.5","0","N"
"292","673280955","14","11","4","5","0","0.1","0.35","N"
"771","1593372099","20","6","2","7","1","0.5","0","N"
"398","931265884","11","3","1","3","0","1.5","0","N"
"784","1222288836","1","9","3","2","0","3.0","0.18","N"
"99","189359000","11","9","3","5","1","4.0","0","N"
"860","1373356422","10","4","2","5","0","2.0","0.38","N"
"779","875741363","19","7","3","2","0","0.1","0.3","N"
"348","552095066","19","7","3","2","0","0.1","0.06","N"
"77","735736000","23","9","3","3","0","0.0","0","N"
"547","807472410","20","2","1","2","0","0.0","0.02","N"
"445","1131163657","9","10","4","5","0","0.5","0","N"
"44","117720000","14","11","4","4","0","0.1","0","N"
"726","1764292053","25","5","2","2","0","3.0","0.18","N"
"0","0","17","4","2","5","1","4.0","0","N"
"406","760901274","14","7","3","4","0","2.0","0.07","N"
"154","229437953","16","10","4","5","0","0.0","0.05","N"
"400","606536077","11","3","1","3","0","1.5","0.11","N"
"351","603348157","18","12","4","4","0","2.0","0.27","N"
"437","1579416677","31","3","1","2","0","3.0","0","N"
"634","1614503727","25","10","4","6","0","0.0","0.25","N"
"153","953942000","8","7","3","5","0","2.0","0","N"
"429","537697742","7","8","3","6","0","2.0","0.03","N"
"451","518344000","26","4","2","7","1","3.5","0","N"
"10","1650000","13","6","2","7","1","1.0","0","N"
"302","364307671","4","1","1","4","1","5.0","0","N"
"455","629041638","28","9","3","1","0","1.5","0.24","N"
"553","781856713","29","11","4","5","0","3.0","0.38","N"
"347","316833375","28","1","1","7","1","1.5","0","N"
"586","732821401","27","8","3","5","0","1.5","0.02","N"
"572","1297838181","4","4","2","6","0","0.5","0.02","N"
"228","362462325","11","11","4","2","0","1.5","0","N"
"296","468595652","11","7","3","1","0","1.5","0.01","N"
"17","38200000","24","2","1","6","0","3.0","0","N"
"555","900124000","8","4","2","3","0","1.0","0","N"
"153","117468000","11","10","4","6","0","3.0","0.17","N"
"440","1496904864","26","11","4","3","0","0.5","0.19","N"
"618","884561091","19","11","4","2","0","2.0","0.07","N"
"270","385469767","18","5","2","2","0","0.5","0.12","N"
"748","945164766","27","10","4","2","0","0.5","0","N"
"79","268320000","27","1","1","6","0","0.5","0","N"
"406","366737345","8","3","1","7","1","1.5","0","N"
"474","1275495000","22","1","1","1","0","0.5","0.3","N"
"11","14730000","14","8","3","6","0","1.0","0","N"
"367","689816692","2","7","3","6","1","4.0","0","N"
"523","995617244","21","5","2","5","0","0.5","0.26","N"
"522","1263664144","14","11","4","4","0","0.1","0.27","N"
"304","900884164","9","10","4","5","0","0.5","0","N"
"245","341484002","6","1","1","6","0","1.0","0.04","N"
"819","954431299","1","1","1","1","1","5.0","0","N"
"212","231818470","8","12","4","7","1","0.0","0","N"
"813","1367870953","3","10","4","5","0","1.5","0.14","N"
"186","267540666","6","12","4","6","0","0.1","0","N"
"625","800545669","29","5","2","6","0","3.0","0.09","N"
"286","387881834","11","9","3","5","1","4.0","0","N"
"145","114260000","17","11","4","7","1","0.1","0","N"
"525","720722248","28","11","4","5","0","1.5","0.18","N"
"65","100800000","14","12","4","7","1","1.0","0","N"
"788","1720685160","13","8","3","5","0","3.0","0.04","N"
"492","817751029","21","2","1","3","0","0.1","0","N"
"860","2340146798","3","8","3","2","0","1.5","0.01","N"
"663","1972266482","17","8","3","2","0","0.5","0.26","N"
"826","950008183","8","3","1","7","1","1.5","0.03","N"
"341","404348985","26","4","2","7","1","3.5","0.03","N"
"483","823369600","6","9","3","7","1","0.5","0","N"
"644","1328954200","6","10","4","2","0","0.5","0.09","N"
"469","1410617806","2","6","2","3","0","1.0","0","N"
"632","1289376592","5","3","1","4","0","0.1","0.11","N"
"312","681514500","12","1","1","5","1","2.5","0","N"
"581","787338797","15","10","4","3","0","1.0","0.02","N"
"668","735259607","23","11","4","6","0","1.5","0.08","N"
"523","782505897","9","8","3","1","0","2.0","0.05","N"
"667","1730068785","8","9","3","2","0","0.5","0","N"
"284","509799007","15","7","3","5","0","0.5","0.21","N"
"457","720735355","18","5","2","2","0","0.5","0.15","N"
"316","428067953","2","8","3","1","1","4.0","0","N"
"553","911268500","26","4","2","7","1","3.5","0","N"
"577","603301946","13","11","4","4","0","0.5","0.05","N"
"337","294260000","15","8","3","7","1","1.0","0","N"
"764","1199518989","9","1","1","2","0","0.1","0.33","N"
"384","709282891","17","10","4","6","0","0.0","0","N"
"27","72958000","19","10","4","1","0","0.0","0","N"
"453","584320677","10","1","1","3","0","1.0","0.05","N"
"594","1158154221","10","10","4","6","0","1.5","0.06","N"
"63","74480000","13","1","1","7","1","4.0","0","N"
"938","1288776630","27","10","4","2","0","0.5","0.23","N"
"514","1072334491","14","9","3","1","0","0.5","0.26","N"
"609","709419000","17","11","4","7","1","0.1","0","N"
"531","599702837","5","8","3","4","0","0.5","0.13","N"
"574","1803458179","25","8","3","3","0","0.5","0.01","N"
"274","238580406","7","1","1","7","1","0.1","0","N"
"571","2508297846","9","8","3","1","0","2.0","0.25","N"
"233","499331621","12","10","4","7","1","0.5","0","N"
"454","619663898","19","12","4","5","0","0.1","0.13","N"
"209","306521973","2","6","2","3","0","1.0","0","N"
"472","975122493","21","3","1","6","0","0.0","0.05","N"
"884","1385963675","27","5","2","4","0","0.5","0","N"
"615","1017899651","30","9","3","3","0","4.0","0.01","N"
"368","544235786","16","9","3","3","0","3.0","0.24","N"
"414","437641325","11","10","4","6","0","3.0","0.06","N"
"279","1253810901","31","1","1","3","0","3.0","0.21","N"
"311","489987430","11","3","1","3","0","1.5","0.03","N"
"424","494673280","27","6","2","7","1","1.0","0","N"
"426","330273152","27","4","2","1","1","5.0","0","N"
"350","365149077","9","11","4","7","1","0.1","0.06","N"
"1717","1563811218","25","2","1","7","1","2.5","0","N"
"800","1764665945","6","8","3","5","0","0.5","0.05","N"
"557","1154626005","2","4","2","4","0","0.5","0.09","N"
"124","332950000","9","4","2","4","0","0.5","0","N"
"718","1496498636","28","8","3","6","0","3.0","0.03","N"
"632","1662089723","3","12","4","3","0","0.1","0.32","N"
"782","973628863","28","1","1","7","1","1.5","0","N"
"253","253690000","20","6","2","7","1","0.5","0","N"
"589","1872381000","26","4","2","7","1","3.5","0","N"
"542","673296563","5","4","2","7","1","2.0","0","N"
"6","2300000","26","4","2","7","1","3.5","0","N"
"645","1176728904","18","5","2","2","0","0.5","0.03","N"
"474","629656816","24","7","3","7","1","0.1","0","N"
"187","261655522","9","11","4","6","0","3.0","0","N"
"448","616257437","13","6","2","7","1","1.0","0","N"
"485","814334361","28","7","3","4","0","1.5","0","N"
"0","0","19","9","3","6","1","3.0","0","N"
"475","1540333135","7","5","2","5","0","1.0","0","N"
"92","140125006","3","6","2","4","0","1.5","0.27","N"
"825","1802234934","19","12","4","4","0","0.0","0.1","N"
"58","122670000","20","6","2","7","1","0.5","0","N"
"626","964233000","22","11","4","6","1","4.0","0","N"
"197","433550000","3","2","1","6","0","1.0","0.2","N"
"333","857557000","10","8","3","2","0","1.0","0.03","N"
"402","649969546","30","1","1","2","0","3.0","0","N"
"414","1403190015","21","5","2","5","0","0.5","0.26","N"
"925","1576471772","14","12","4","7","1","1.0","0","N"
"47","94331000","15","12","4","7","1","2.0","0.06","N"
"536","1136004000","11","10","4","7","1","3.0","0","N"
"302","554437001","7","10","4","3","0","1.5","0.07","N"
"84","135578876","24","1","1","3","0","0.1","0","N"
"112","96101000","10","1","1","4","0","1.0","0","N"
"3","2000000","22","11","4","5","1","4.0","0","N"
"570","652522997","16","1","1","2","0","0.1","0.13","N"
"1120","1709799920","1","9","3","2","0","3.0","0.05","N"
"597","603348651","22","12","4","7","1","0.0","0","N"
"426","1457632869","4","4","2","6","0","0.5","0.2","N"
"617","1518983253","18","1","1","4","0","1.0","0.15","N"
"878","777728490","2","5","2","7","1","0.5","0","N"
"151","365541533","15","7","3","5","0","0.5","0.02","N"
"669","1508808687","4","8","3","3","0","3.0","0.01","N"
"508","1361411477","11","9","3","5","1","4.0","0","N"
"689","1398973962","18","11","4","1","0","0.5","0.08","N"
"240","500966742","5","6","2","6","0","2.0","0.26","N"
"630","956512772","31","3","1","2","0","3.0","0.03","N"
"579","831721427","30","10","4","4","0","3.0","0.31","N"
"163","315618568","13","8","3","5","0","3.0","0","N"
"311","555173536","20","5","2","4","1","3.0","0","N"
"331","602910000","11","9","3","5","1","4.0","0","N"
"950","2140904886","10","10","4","5","0","2.0","0.01","N"
"631","1089272178","25","12","4","3","0","1.0","0.02","N"
"153","188001000","2","5","2","7","1","0.5","0","N"
"268","335438255","30","11","4","7","1","3.0","0","N"
"547","796233497","30","1","1","2","0","3.0","0.11","N"
"223","243274000","1","10","4","3","0","3.0","0.17","N"
"305","315025000","13","12","4","5","0","0.1","0","N"
"409","526161000","2","11","4","6","0","1.0","0.37","N"
"267","429716000","24","7","3","7","1","0.1","0","N"
"487","1154399677","18","5","2","2","0","0.5","0.12","N"
"67","131952000","13","1","1","7","1","4.0","0","N"
"635","1826142488","9","12","4","2","0","0.0","0.24","N"
"428","1139433183","24","12","4","3","0","0.5","0.09","N"
"445","399444552","22","11","4","6","1","4.0","0","N"
"559","853110927","19","9","3","6","1","3.0","0","N"
"736","1673298088","9","8","3","1","0","2.0","0.2","N"
"418","983044701","17","10","4","6","0","0.0","0.27","N"
"606","1060741458","13","12","4","5","0","0.1","0.2","N"
"452","821639590","4","10","4","7","1","3.0","0","N"
"2","0","25","4","2","6","0","2.5","0","N"
"412","1360395822","23","5","2","7","1","0.5","0","N"
"607","1075370893","12","5","2","3","0","0.0","0.31","N"
"665","983825941","30","2","1","5","0","3.0","0.07","N"
"348","528325418","6","5","2","4","0","1.0","0.03","N"
"166","149806127","20","9","3","7","1","1.5","0","N"
"1094","1151619146","27","5","2","4","0","0.5","0.18","N"
"590","1560091489","12","11","4","3","0","3.0","0","N"
"870","1247843000","5","4","2","7","1","2.0","0","N"
"536","1017130156","5","12","4","4","0","3.0","0.04","N"
"517","762255680","17","9","3","4","0","0.5","0","N"
"466","1551702811","20","10","4","1","0","0.5","0.17","N"
"89","97600000","8","12","4","7","1","0.0","0.12","N"
"389","563761000","22","3","1","7","1","0.0","0","N"
"406","921119000","7","9","3","1","0","2.0","0.23","N"
"819","1589142143","24","5","2","1","0","1.5","0.37","N"
"911","2269809777","20","7","3","3","0","1.0","0.05","N"
"481","1115033580","25","11","4","2","0","3.0","0","N"
"226","382386930","21","10","4","3","0","0.0","0.32","N"
"45","49698000","5","12","4","4","0","3.0","0","N"
"949","1843565566","1","9","3","2","0","3.0","0","N"
"395","567734000","23","9","3","3","0","0.0","0.15","N"
"53","110084772","14","5","2","5","0","1.0","0.01","N"
"446","815027003","17","11","4","1","0","0.1","0.11","N"
"416","753677790","12","9","3","6","0","2.0","0.15","N"
"418","626787771","22","9","3","2","0","1.0","0.06","N"
"814","1774697396","11","12","4","4","0","0.0","0.04","N"
"715","1179236590","23","2","1","5","0","1.5","0.3","N"
"509","873499654","4","10","4","7","1","3.0","0","N"
"542","1550958342","6","2","1","2","0","0.0","0.02","N"
"549","1772849962","11","5","2","2","0","0.0","0.27","N"
"479","926165750","28","7","3","4","0","1.5","0.01","N"
"636","1339201094","11","8","3","3","0","0.5","0.16","N"
"232","344730001","9","12","4","2","0","0.0","0.07","N"
"450","889937104","10","3","1","2","0","0.5","0","N"
"240","357333000","18","11","4","1","0","0.5","0.03","N"
"265","530617740","5","1","1","6","0","1.5","0.31","N"
"649","1611252983","13","11","4","3","0","0.5","0.25","N"
"519","1059024094","13","7","3","3","0","2.0","0.09","N"
"428","600357798","23","7","3","6","0","1.0","0.17","N"
"770","1548197786","7","10","4","3","0","1.5","0.06","N"
"382","1486498073","30","8","3","1","0","3.0","0","N"
"674","2768729736","10","12","4","2","0","0.0","0.14","N"
"321","1169261000","25","7","3","1","0","1.0","0","N"
"675","2172777264","4","9","3","5","0","0.5","0.09","N"
"438","1120297222","25","9","3","5","0","1.0","0.03","N"
"569","702050002","11","1","1","4","0","1.5","0.13","N"
"411","1136562606","17","8","3","2","0","0.5","0.22","N"
"676","2647270091","5","6","2","6","0","2.0","0.11","N"
"435","1041228634","29","10","4","4","0","3.0","0.12","N"
"8","11650000","5","1","1","6","0","1.5","0","N"
"954","1060787186","19","8","3","4","0","0.1","0.04","N"
"164","267818750","15","8","3","7","1","1.0","0","N"
"338","934927534","13","7","3","3","0","2.0","0.24","N"
"367","661222698","30","11","4","7","1","3.0","0","N"
"411","576477070","20","10","4","1","0","0.5","0.29","N"
"88","318560000","16","7","3","6","0","2.0","0.19","N"
"137","359099000","22","1","1","1","0","0.5","0","N"
"589","756161658","16","10","4","4","0","0.1","0.01","N"
"364","1033414415","15","6","2","2","0","0.0","0.19","N"
"4","7583454","13","6","2","7","1","1.0","0","N"
"278","404775307","21","9","3","1","1","3.0","0","N"
"368","739503000","25","7","3","1","0","1.0","0.1","N"
"723","1431895665","30","11","4","7","1","3.0","0","N"
"800","580158316","23","3","1","1","0","0.1","0.35","N"
"93","349480000","1","12","4","7","1","3.0","0","N"
"132","258681816","7","11","4","5","0","0.0","0","N"
"2","1200000","2","11","4","7","1","1.0","0","N"
"211","310322658","29","10","4","3","0","3.0","0","N"
"3","1300000","26","4","2","7","1","3.5","0","N"
"559","852985487","31","1","1","3","0","3.0","0.07","N"
"213","289274000","2","1","1","2","1","5.0","0","N"
"500","574768710","25","3","1","3","0","2.0","0.17","N"
"342","659730996","21","12","4","7","1","0.5","0","N"
"680","685185499","9","5","2","7","1","0.1","0","N"
"367","444247607","6","6","2","7","1","0.1","0","N"
"349","592284902","23","6","2","3","0","3.0","0.06","N"
"671","689158892","28","11","4","5","0","1.5","0.28","N"
"814","2133303616","1","10","4","4","0","3.0","0.12","N"
"941","1607815820","1","12","4","1","0","3.0","0.21","N"
"236","485326000","19","3","1","4","0","0.1","0.15","N"
"71","158281310","10","1","1","4","0","1.0","0","N"
"577","699383958","30","9","3","3","0","4.0","0.25","N"
"451","534094000","1","8","3","7","1","4.0","0","N"
"403","421044408","19","4","2","7","1","0.5","0","N"
"363","510978738","25","5","2","2","0","3.0","0.08","N"
"655","753673839","12","4","2","7","1","0.5","0","N"
"100","168966549","15","2","1","4","0","1.0","0.01","N"
"870","2634609726","27","12","4","5","0","1.5","0.3","N"
"379","545450753","18","10","4","7","1","0.0","0","N"
"217","248175975","7","5","2","5","0","1.0","0.35","N"
"540","812748159","29","11","4","6","0","3.0","0.18","N"
"71","75769000","13","10","4","2","0","0.0","0","N"
"221","361796000","24","9","3","4","0","0.1","0.23","N"
"652","1265727000","12","6","2","6","0","0.1","0.21","N"
"613","1843548331","22","9","3","2","0","1.0","0.03","N"
"29","101734000","11","7","3","1","0","1.5","0","N"
"66","142154310","24","10","4","6","0","0.0","0","N"
"72","159138852","22","12","4","1","0","1.5","0","N"
"444","606104000","5","10","4","7","1","1.0","0","N"
"615","1793982954","21","5","2","5","0","0.5","0.07","N"
"319","677289916","29","2","1","4","0","3.0","0.14","N"
"664","1402710068","4","11","4","2","0","0.1","0.09","N"
"738","1733102794","30","3","1","1","0","3.0","0.03","N"
"238","467565000","12","4","2","7","1","0.5","0","N"
"524","826858000","20","7","3","3","0","1.0","0.05","N"
"484","540068699","3","7","3","7","1","1.5","0","N"
"612","607586730","23","10","4","5","0","1.0","0.01","N"
"454","750738000","25","5","2","2","0","3.0","0.07","N"
"193","137670000","7","1","1","7","1","0.1","0","N"
"224","397468613","4","10","4","6","0","3.0","0.02","N"
"521","908381000","4","9","3","5","0","0.5","0.16","N"
"746","1178592134","1","11","4","5","0","3.0","0.12","N"
"687","1652258660","6","7","3","3","0","1.5","0.01","N"
"317","783814613","19","8","3","4","0","0.1","0","N"
"293","496187862","17","3","1","2","0","0.0","0.11","N"
"551","1460070295","15","9","3","2","0","2.0","0.14","N"
"329","645031230","5","1","1","6","0","1.5","0.21","N"
"28","21250000","29","12","4","1","1","3.5","0","N"
"473","674486636","7","5","2","5","0","1.0","0.19","N"
"319","483084142","19","4","2","7","1","0.5","0","N"
"367","632454586","30","9","3","3","0","4.0","0.04","N"
"285","587809601","16","11","4","6","0","0.0","0.26","N"
"72","123387000","22","6","2","2","0","1.5","0","N"
"56","106664000","12","1","1","6","1","2.5","0","N"
"0","0","16","1","1","2","0","0.1","0","N"
"213","374414333","24","11","4","1","0","1.5","0","N"
"278","325560359","22","5","2","6","0","0.1","0.02","N"
"9","9200000","17","10","4","6","0","0.0","0","N"
"494","815903393","13","4","2","1","0","1.5","0.24","N"
"103","89897000","27","1","1","6","0","0.5","0","N"
"454","677206000","22","8","3","7","1","0.5","0","N"
"482","717776436","10","4","2","5","0","2.0","0","N"
"312","557527000","20","8","3","5","0","0.0","0.3","N"
"570","1285003042","14","5","2","5","0","1.0","0","N"
"646","1166769059","25","5","2","2","0","3.0","0","N"
"638","669233279","22","10","4","3","0","0.1","0.01","N"
"515","846139188","20","6","2","7","1","0.5","0.03","N"
"443","1101620237","29","12","4","7","1","3.5","0.04","N"
"416","712529879","17","2","1","6","0","1.0","0.23","N"
"281","348849000","12","10","4","7","1","0.5","0","N"
"691","1410624415","26","12","4","4","0","0.5","0.27","N"
"558","1471919599","15","6","2","2","0","0.0","0.09","N"
"411","1131427901","13","8","3","5","0","3.0","0.02","N"
"705","2729743234","3","8","3","2","0","1.5","0","N"
"174","464680023","15","6","2","2","0","0.0","0","N"
"1095","1035640599","26","1","1","5","0","0.1","0.08","N"
"461","1328671769","3","2","1","6","0","1.0","0.05","N"
"637","811559000","23","5","2","7","1","0.5","0","N"
"462","672178283","24","11","4","7","1","0.1","0.07","N"
"350","595634623","21","5","2","5","0","0.5","0.28","N"
"687","1391769188","26","11","4","3","0","0.5","0.12","N"
"651","1435222965","2","11","4","6","0","1.0","0.39","N"
"181","132320618","11","9","3","5","1","4.0","0","N"
"303","355850433","13","1","1","7","1","4.0","0","N"
"285","550877000","9","7","3","6","0","2.5","0.1","N"
"299","944362663","12","8","3","4","0","1.5","0","N"
"700","1033111982","5","2","1","1","0","0.0","0.02","N"
"237","416301748","9","7","3","6","0","2.5","0.31","N"
"720","514275330","8","8","3","7","1","2.0","0","N"
"121","155606866","18","11","4","1","0","0.5","0","N"
"245","259974610","11","2","1","7","1","2.5","0","N"
"639","926043943","30","9","3","3","0","4.0","0.06","N"
"695","1276135343","7","10","4","3","0","1.5","0.13","N"
"345","1135562478","13","5","2","4","0","0.1","0.33","N"
"685","1089001986","22","8","3","7","1","0.5","0","N"
"341","742034151","18","4","2","6","0","3.0","0.04","N"
"411","1214514396","16","8","3","1","0","0.1","0.19","N"
"597","2082737096","16","6","2","3","0","0.1","0.11","N"
"202","258497647","8","10","4","3","0","1.0","0.29","N"
"514","779386884","6","3","1","5","0","1.0","0","N"
