Date,ATM_ID,Total_Of_Transactions,Total_Of_Services,Total_Of_Bills,Total_Of_Transfers,Total_Of_Dispenses,HSuperviser,No_Service
1394/04/11,3049,466,12370801,30291000,1170471118,165250000,0,0
1394/04/11,3050,526,3450131,4996000,1817302499,200600000,0.08,0.87
1394/04/11,3051,579,2439466,6354000,1652212409,204400000,0.32,1.33
1394/04/11,2737,411,20331418,1624000,1302168385,169000000,0.32,1.38
1394/04/11,2334,694,4522625,2923000,673661500,269250000,0.4,1.71
1394/04/11,2526,633,1700000,1140000,1061805245,287200000,0.14,0.58
1394/04/11,1949,933,3823115,6107000,1280239775,384400000,0.4,1.67
1394/04/11,1950,547,6859724,4861000,879113821,205300000,0.12,0.5
1394/04/11,1951,482,22295207,19238000,501443229,174800000,0,0
1394/04/11,1952,479,11020000,2922000,615752000,167500000,0,5.33
1394/04/11,1953,538,10100851,6576000,753945249,178200000,0,0.08
1394/04/11,1954,403,9088111,3613000,785460022,146500000,0.27,4.96
1394/04/11,1955,580,15922277,2822000,1645095921,205700000,0.11,0.58
1394/04/11,1957,572,1380000,4717000,1816152710,210400000,0.75,3.3
1394/04/11,1958,294,0,2064000,1069437000,98000000,0.01,0.04
1394/04/11,1959,381,500000,3092000,526980000,174700000,0.23,1.13
1394/04/11,1960,677,3404447,3465000,988122000,291700000,0.53,3.13
1394/04/11,1961,621,0,7726000,1014411800,251400000,0.37,1.54
1394/04/11,1962,904,1400000,1960000,2068314000,332200000,0.05,0.21
1394/04/11,1963,689,7433780,3562000,1943054348,285750000,0.09,5.42
1394/04/11,1964,640,0,8294000,687147133,213900000,0.33,3.59
1394/04/11,1965,744,13447872,4529000,824423000,289800000,0.14,0.58
1394/04/11,1966,762,0,11136000,1307939661,346000000,0.17,1.04
1394/04/11,1968,829,4214945,3132000,1472710654,376200000,0.34,1.5
1394/04/11,1969,428,4851209,460000,482126173,167200000,0,5.96
1394/04/11,1970,386,6559215,2415000,614730000,147800000,0,8.5
1394/04/11,1971,727,21878766,10142000,1165468311,310500000,0.09,0.38
1394/04/11,2738,420,22109938,1444000,1157854000,139400000,0.01,0.04
1394/04/11,2739,520,0,4824000,1974312048,156900000,0.35,1.54
1394/04/11,2740,587,14799169,3265000,1285125000,170300000,0,0
1394/04/11,3052,291,1400000,2616000,296540000,123400000,0.34,1.63
1394/04/11,3053,563,5505000,4327000,1348560100,244800000,0.2,0.87
1394/04/11,3054,647,12026957,1813000,782635579,290500000,0.33,1.38
1394/04/11,3055,860,3686613,2887000,982782809,384000000,0.38,1.63
1394/04/11,3056,443,8194231,1614000,1018601000,199400000,0.12,0.5
1394/04/11,3057,540,0,4193000,751355000,208200000,0.04,0.21
1394/04/11,3058,564,24510000,4250000,722495316,207500000,0,0
1394/04/11,3059,525,14075469,3876000,703347000,163400000,0.08,0.75
1394/04/11,3060,565,19954162,28238000,1384903267,191400000,0.16,23.71
1394/04/11,3061,493,44090770,77947000,469594321,138300000,0.25,1.04
1394/04/11,3062,610,4149087,5304000,1518850048,229400000,0.54,2.29
1394/04/11,2474,265,12698094,1749000,325350000,75600000,0.21,0.92
1394/04/11,2264,75,0,190000,85690215,22300000,0,0
1394/04/11,2277,368,22840000,5111000,666840000,120600000,0.25,1.04
1394/04/11,1809,499,3915416,5293000,536983642,161800000,0.06,0.29
1394/04/11,1810,353,5571755,740000,674500000,113400000,0.15,0.63
1394/04/12,1811,459,23241864,2867000,656782987,152500000,0,0.5
1394/04/12,1818,663,1386613,2409000,568930000,329800000,0,0
1394/04/12,1876,377,5918368,1865000,724682926,122200000,0,0.04
1394/04/12,2308,748,6277139,3809000,596940000,340700000,0,0.08
1394/04/12,3709,171,2930000,1490000,66830000,66350000,0,0
1394/04/12,3710,414,1700000,2719000,280867321,125150000,0,0
1394/04/12,3711,148,9882230,190000,174596000,54100000,0,0
1394/04/12,3712,595,0,5978000,560990000,257350000,0,0
1394/04/12,3713,530,23059725,2579000,320014980,195450000,0,0.04
1394/04/12,3714,593,0,14845000,479338490,245700000,0,0
1394/04/12,4252,13,0,0,55000000,2900000,0,0
1394/04/12,4433,498,0,5419000,330427000,220300000,0,0
1394/04/12,4434,271,2000000,1225000,200479270,87100000,0,0
1394/04/12,4435,350,1132558,3379000,410850000,91950000,0,0.04
1394/04/12,4554,10,0,50000,20900000,3800000,0,0
1394/04/12,3715,238,0,550000,362815000,104200000,0,0
1394/04/12,3716,616,0,1960000,500527321,205300000,0,0
1394/04/12,3717,391,1386613,2141000,653455000,78200000,0,54.87
1394/04/12,3785,5,0,0,2900000,200000,0,0
1394/04/12,3786,301,0,3112000,305361505,131200000,0,0
1394/04/12,3230,318,1600000,887000,176270000,112200000,0.03,42.51
1394/04/12,2503,364,2007943,3716000,176760000,106500000,0,0
1394/04/12,2504,912,0,4323000,736966000,367300000,0,0
1394/04/12,1739,481,3877788,1741000,263985000,155600000,0,0
1394/04/12,1740,719,6340849,2332000,292270000,224100000,0,0.33
1394/04/12,1741,519,3355798,2665000,313550000,173700000,0,0
1394/04/12,1742,450,0,9330000,64050000,257250000,0.18,0.75
1394/04/12,1743,439,1528378,2427000,172220000,127700000,0,0.04
1394/04/12,1744,584,4811577,2308000,351240000,191900000,0,0
1394/04/12,1745,413,2936984,1032000,205870000,163200000,0,44.79
1394/04/12,1746,739,5983333,2560000,614588000,316700000,0,0
1394/04/12,1747,171,0,1050000,213462000,55900000,0,0
1394/04/12,1748,343,16394108,1051000,393280000,124400000,0,0.04
1394/04/12,2330,205,0,1076000,174702000,70700000,0,0
1394/04/12,2331,680,19304690,2487000,565815000,247500000,0,0
1394/04/12,2332,466,0,3714000,214020000,205000000,0,0.04
1394/04/12,2333,833,0,3270000,689755000,437000000,0.01,0.04
1394/04/12,3231,109,1040000,4995000,86730000,31800000,0,0
1394/04/12,3232,404,1740000,1387000,270140000,135500000,0,0
1394/04/12,3233,340,0,982000,263177000,174100000,0,53.67
1394/04/12,3234,593,0,1882000,407490000,312400000,0.05,0.21
1394/04/12,3235,544,0,9585000,385538670,214500000,0,0
1394/04/12,3554,0,0,0,0,0,0,0
1394/04/12,3787,446,0,1226000,359720000,237650000,0,0
1394/04/12,3788,558,0,4155000,380956000,257900000,0,0
1394/04/12,3789,57,0,20000,71540000,30500000,0,0
1394/04/12,3790,111,0,170000,87886000,75800000,0,0
1394/04/12,3792,269,4180000,664000,207665001,78100000,0,0.38
1394/04/12,4015,3,0,0,600000,500000,0,0
1394/04/12,4203,302,0,1220000,266830000,143450000,0,0
1394/04/12,4337,399,5909906,1751000,255377800,131100000,0,0
1394/04/12,4733,0,0,0,0,0,0,0
1394/04/12,4528,655,7900408,1995000,528278431,215500000,0,0.04
1394/04/12,4529,644,1400000,2691000,701434048,212100000,0,33.04
1394/04/12,4540,1,0,0,0,1000000,0,0
1394/04/12,4541,90,0,871000,10500000,20150000,0,0
1394/04/12,4594,164,0,1683000,126450000,67550000,0,0
1394/04/12,4595,189,0,798000,345958000,71500000,0,0
1394/04/12,4431,296,0,3336000,244450000,117400000,0,0.96
1394/04/12,4432,525,1666666,1491000,565910000,193200000,0,0
1394/04/12,3901,79,0,351000,93990000,20200000,0,0.21
1394/04/12,3902,4,0,0,1440000,2100000,0,0
1394/04/12,3442,262,2387838,1678000,223350000,125400000,0,2.17
1394/04/12,3443,532,2667476,3458000,350235762,215200000,0,0
1394/04/12,3444,11,0,0,10203000,900000,0,0
1394/04/12,3446,390,2780000,5663000,261967000,159000000,0.02,0.08
1394/04/12,3254,233,8103298,595000,126498000,68050000,0,0
1394/04/12,3047,303,6236250,3617000,219973218,78200000,0,0.04
1394/04/12,3048,291,3195456,1220000,160784000,74300000,0,0.04
1394/04/12,3049,355,12019729,2437000,303800000,112200000,0,0
1394/04/12,3050,320,1112938,2155000,466410000,127550000,0,0.13
1394/04/12,3051,416,17399363,4180000,593743000,150500000,0,0.13
1394/04/12,2737,259,0,1506000,203555321,103000000,0,0.08
1394/04/12,2334,61,0,70000,19100000,18800000,0,0.04
1394/04/12,2526,732,0,1936000,683942000,319600000,0,0
1394/04/12,1949,985,2800351,4220000,714369000,448000000,0,0.38
1394/04/12,1950,510,0,3300000,624176000,209600000,0,0
1394/04/12,1951,305,3826573,2944000,231400000,105700000,0,0
1394/04/12,1952,579,1500000,4084000,486626875,247000000,0,0.46
1394/04/12,1953,441,9456421,3134000,503142000,166800000,0,0
1394/04/12,1954,294,0,11111000,195130000,107600000,0,0.13
1394/04/12,1955,459,11170273,3829000,464789000,153000000,0,0.37
1394/04/12,1957,402,3387411,1095000,413455000,157700000,0,0.38
1394/04/12,1958,65,500000,183000,36315000,21800000,0,0.04
1394/04/12,1959,363,3036613,2019000,227505000,202300000,0,0
1394/04/12,1960,601,0,4927000,1093150000,278000000,0,0
1394/04/12,1961,580,0,7032000,848710000,266400000,0,0.04
1394/04/12,1962,879,0,5219000,640915000,334500000,0,0.33
1394/04/12,1963,557,2790602,2398000,923217979,185500000,0,23.54
1394/04/12,1964,723,1490292,12441000,409580700,212200000,0,0
1394/04/12,1965,542,3484483,3593000,368200000,184400000,0,0
1394/04/12,1966,784,0,6471000,553833833,345100000,0,0
1394/04/12,1968,732,0,2228000,621247900,340700000,0,0
1394/04/09,1969,419,4864388,3067000,494017852,143900000,0.32,6.29
1394/04/09,1970,383,4797957,3949000,1085745000,153400000,0.09,0.38
1394/04/09,1971,582,12646613,2421000,658490000,264200000,0.27,1.13
1394/04/09,1809,47,0,190000,44800000,14100000,0.38,2.62
1394/04/09,1810,283,1530000,380000,438529723,107500000,0.54,2.29
1394/04/09,2334,629,1400000,4428000,641100642,249100000,0.06,0.29
1394/04/09,2503,704,6216613,12188000,385926417,227500000,0.48,2
1394/04/09,2504,757,7400000,3096000,1366203449,304900000,0.67,3.83
1394/04/09,3230,540,7216613,1629000,634998783,173900000,1.39,5.79
1394/04/09,3715,272,1601426,2921000,467805081,96100000,0,0.04
1394/04/09,3716,581,0,1418000,1064391321,174850000,0.15,3.46
1394/04/09,3717,613,6229326,1698000,865011000,247100000,0.31,1.29
1394/04/09,3785,138,0,2122000,204613000,34000000,0,0.21
1394/04/09,3786,259,1500000,13344000,344230000,78400000,0.3,1.46
1394/04/09,4252,156,3109879,3260000,146419000,64850000,0,0
1394/04/09,4431,332,6978695,4077000,343536000,131150000,0.55,2.29
1394/04/09,4432,478,0,2163000,532301436,145600000,0.01,0.08
1394/04/09,4528,811,10429211,3485000,1219654515,324900000,0.38,1.58
1394/04/09,4529,678,3032523,7042000,824600000,276700000,0.37,1.54
1394/04/09,3787,240,2000000,1337000,289520000,99800000,0.33,1.38
1394/04/09,3788,360,0,2764000,351334000,167100000,0.26,7
1394/04/09,3789,105,0,667000,369050000,17750000,0.04,0.38
1394/04/09,3790,33,0,314000,44850000,11000000,0,0
1394/04/09,3792,324,0,983000,530130000,123850000,0.04,0.17
1394/04/09,3047,524,21753608,20917000,586831062,194050000,0.05,1.71
1394/04/09,3048,541,2182650,948000,455125477,181550000,0.06,0.84
1394/04/09,3049,453,10059007,3808000,579747939,146150000,0.01,0.04
1394/04/09,3050,536,8589880,9816000,1424464089,157700000,0.08,0.33
1394/04/09,3051,596,16667747,4546000,1268925000,200300000,0.19,0.79
1394/04/09,3231,276,8559177,7081000,651505000,87000000,0.27,1.13
1394/04/09,3232,547,21959005,1578000,893990000,168450000,0.02,2.54
1394/04/09,3233,658,10696634,2937000,930720000,321200000,0.24,33
1394/04/09,3234,474,4296361,4698000,715320000,201950000,0.02,36.05
1394/04/09,3235,599,0,20342000,1110088000,270100000,0.02,0.79
1394/04/09,4015,27,0,120000,45700000,3750000,0,0
1394/04/09,1811,588,21304481,18833000,678204663,146800000,0,2.13
1394/04/09,1818,402,1650000,9830000,543137655,149500000,0.03,0.13
1394/04/09,1876,599,65789436,3060000,746473906,177800000,0.01,0.04
1394/04/09,3554,88,0,250000,169310000,24100000,0,0
1394/04/09,2526,603,4874510,18093000,703683873,250700000,0.19,0.79
1394/04/09,3052,218,2750000,3773000,196230000,84500000,0.22,0.92
1394/04/09,3053,518,430000,4095000,1182302000,194700000,0.15,0.63
1394/04/09,3054,692,14526625,2113000,1021885000,304700000,0.03,2.17
1394/04/09,3055,874,13108951,6722000,1388009144,373100000,0.48,2
1394/04/09,3056,382,5497472,3952000,596440222,155800000,0.16,0.67
1394/04/09,3057,537,3610744,25086000,1224025290,186200000,0.06,0.25
1394/04/09,3058,551,46593144,2800000,455209040,207500000,0.24,1
1394/04/09,3059,490,20625101,280000,395224000,188500000,0.21,0.88
1394/04/09,4203,306,7282634,383000,410860000,135200000,0.23,0.96
1394/04/09,4433,558,4505000,6525000,510180000,224700000,0.29,1.25
1394/04/09,4434,444,2100000,630000,320401000,180500000,0.11,0.46
1394/04/09,4435,570,4891238,4007000,707988682,183650000,0.22,0.92
1394/04/09,4540,189,4812470,4566000,221580000,35500000,0,0
1394/04/09,4541,143,1400000,1219000,428535000,43150000,0,0.04
1394/04/09,4554,133,0,2882000,119430000,44050000,0.24,1
1394/04/09,4337,516,5906347,2501000,1474233800,162300000,0.01,0.04
1394/04/09,3901,124,0,170000,308580000,24200000,0,0.08
1394/04/09,3902,96,1677899,1868000,151742000,38300000,0,0
1394/04/09,3709,363,19767004,1887000,807475000,115000000,0.25,1.13
1394/04/09,3710,538,19200792,1761000,652901371,156750000,0.23,5.08
1394/04/09,3711,353,23438153,1093000,942756719,103100000,0.03,0.29
1394/04/09,3712,485,2097870,4747000,862410000,159250000,0.29,1.21
1394/04/09,3713,560,26256584,2185000,1035294000,204000000,0.04,0.58
1394/04/09,3714,581,6756800,2130000,1056891755,249800000,0.03,0.13
1394/04/09,3442,375,0,3127000,812146770,136600000,0.01,0.04
1394/04/09,3443,429,2380000,2972000,641363448,160500000,0,0
1394/04/09,3444,183,1051198,3814000,157439821,39100000,0.03,0.13
1394/04/09,3446,642,6934121,5868000,571561333,281050000,0.07,0.29
1394/04/09,3060,725,36257085,9881000,1353207839,265000000,0.19,0.83
1394/04/09,3061,406,17586094,2002000,693008415,121450000,0.17,0.71
1394/04/09,3062,650,4420771,4954000,974475000,231500000,0,0
1394/04/09,3254,352,10399603,838000,249192000,105150000,0,0
1394/04/09,1746,432,0,271000,79000000,264400000,0.53,2.21
1394/04/09,1747,586,42132021,6848000,970702307,200600000,0.06,1
1394/04/09,1748,512,11751044,5062000,1137781000,148700000,0.12,0.83
1394/04/09,2277,305,5926573,1721000,493300000,103400000,0.12,0.5
1394/04/09,2264,51,0,773000,104950000,21500000,0,0
1394/04/09,1739,492,4195236,839000,965551131,174100000,0.04,0.21
1394/04/09,1740,957,20342214,3771000,1021319963,351500000,0.06,1.71
1394/04/09,1741,552,21036742,3900000,510683269,172400000,0.32,2.71
1394/04/09,1742,847,1430000,6805000,1833278093,332550000,0.4,1.71
1394/04/09,1743,417,2780602,1060000,270640000,161150000,0.11,0.79
1394/04/09,1744,686,5981633,12294000,449830000,250000000,0.19,0.79
1394/04/09,1745,630,9156782,1148000,569069571,237200000,0.96,4.08
1394/04/09,4594,266,4910000,51674000,363782800,93350000,0.13,0.58
1394/04/09,4595,332,7621417,4986000,467019969,111600000,0,0.04
1394/04/09,4733,28,0,20000,12000000,15400000,0,0.08
1394/04/09,2737,422,6600951,1545000,587954942,144000000,0.27,1.13
1394/04/09,2738,400,7122654,9312000,795792000,141900000,0,0.5
1394/04/09,2739,448,0,3180000,1440911401,119500000,0.08,0.33
1394/04/09,2740,482,6978247,4627000,1205386000,146900000,0.34,1.42
1394/04/09,2474,230,5470000,1577000,271390000,71600000,0.05,0.21
1394/04/09,2330,373,13420784,3746000,483392095,145500000,0.22,0.92
1394/04/09,2331,670,7160103,7867000,785276500,206000000,0.66,2.75
1394/04/09,2332,367,6798770,29863000,462117000,114600000,0.03,0.13
1394/04/09,2333,688,5332466,9163000,940752345,272400000,0,3.83
1394/04/09,2308,591,7841061,2920000,1018413713,217000000,0.33,1.38
1394/04/09,1949,642,2260000,1207000,913201301,241100000,0.36,17.13
1394/04/09,1950,498,6154019,4322000,671660000,185550000,0.18,0.75
1394/04/09,1951,445,7823438,4917000,654619833,177700000,0.04,0.17
1394/04/09,1952,461,7176613,6197000,697799011,134500000,0.15,0.63
1394/04/09,1953,410,27376379,6760000,897690000,110000000,0.43,16.25
1394/04/09,1954,313,1403367,1728000,499751945,116520000,0.03,0.13
1394/04/09,1955,430,38286864,1122000,729705000,131700000,0.4,1.67
1394/04/09,1957,534,6841731,2654000,841667144,244800000,0.23,1.34
1394/04/09,1958,247,1668858,1569000,724849954,80400000,0.25,1.04
1394/04/09,1959,323,700000,969000,446629000,207900000,0.12,9.91
1394/04/09,1960,555,1969621,3813000,1291919000,203650000,0.69,3.38
1394/04/09,1961,549,1665295,7108000,956231000,191000000,0,2.71
1394/04/09,1962,787,3642607,3613000,1050869000,303300000,0.05,0.59
1394/04/09,1963,633,4750000,2559000,1322954000,197550000,0.18,0.83
1394/04/09,1964,630,2383216,4359000,979030000,201000000,0.16,0.67
1394/04/09,1965,773,9687174,1022000,891725000,253700000,0.47,1.96
1394/04/09,1966,773,3889007,8911000,1390625000,374400000,0.08,1.54
1394/04/09,1968,775,1500000,2152000,1221265228,335600000,0.1,0.46
1394/04/10,1811,638,19814784,11987000,581580649,147900000,0.26,3.29
1394/04/10,1818,456,0,2997000,595287284,173300000,0.08,3.37
1394/04/10,1876,544,45889022,1679000,839944600,198300000,0,0
1394/04/10,2308,610,2000000,5117000,1162400002,193950000,0.22,29.09
1394/04/10,3709,333,23633336,1529000,963905000,128300000,0.05,5.38
1394/04/10,3710,518,9882514,717000,985530000,187650000,0.63,8.37
1394/04/10,3711,394,51887858,11016000,1253730000,131700000,0.04,0.17
1394/04/10,3712,515,4765239,17612000,793405321,161400000,0.34,1.42
1394/04/10,3713,549,15171874,13176000,854872000,170250000,0.38,1.63
1394/04/10,3714,602,0,4248000,1211024992,272000000,0.06,0.29
1394/04/10,4252,175,0,3235000,185750000,81000000,0,0
1394/04/10,4433,599,4946675,2587000,229466732,313300000,0.2,0.83
1394/04/10,4434,360,3276498,450000,334410000,137100000,0,0.54
1394/04/10,4435,657,9939110,7781000,832168945,211450000,0,0
1394/04/10,4554,126,0,20673000,69420000,44100000,0.01,0.08
1394/04/10,3715,255,1119331,1331000,295620000,114100000,0.13,0.62
1394/04/10,3716,513,0,1637000,678518321,176150000,0.12,6.71
1394/04/10,3717,609,3081960,900000,546525000,278800000,0.2,0.83
1394/04/10,3785,127,1189497,2435000,141115625,35800000,0,0.13
1394/04/10,3786,225,0,6868000,355570000,71600000,0.67,9.96
1394/04/10,3230,562,1880320,2655000,744760000,219900000,0,0
1394/04/10,2503,773,9315210,1904000,481795000,247550000,0.33,1.63
1394/04/10,2504,783,1750000,2277000,2040687005,329500000,0.79,3.29
1394/04/10,1739,491,14058777,867000,1052677000,186200000,0,0
1394/04/10,1740,898,11256985,3684000,736045000,316600000,0.05,3.92
1394/04/10,1741,532,8402169,3639000,630755000,173100000,0.02,0.08
1394/04/10,1742,880,2218581,8785000,1855448000,349600000,0.46,2.09
1394/04/10,1743,500,13059960,2193000,615385773,156350000,0.17,32.21
1394/04/10,1744,552,3923310,2690000,1013151745,201800000,0.12,0.71
1394/04/10,1745,525,7287706,4050000,467240219,200100000,0.78,4.17
1394/04/10,1746,620,3500000,256000,576356001,301050000,1.05,5.42
1394/04/10,1747,601,11095618,2399000,1239871684,198300000,0,0
1394/04/10,1748,583,14321763,1270000,1619515321,208300000,0,0
1394/04/10,2330,442,9036470,1415000,747429913,193600000,0.17,0.88
1394/04/10,2331,866,25766530,1791000,747015000,335100000,0.09,0.51
1394/04/10,2332,553,16668855,1042000,852036716,197800000,0.3,1.42
1394/04/10,2333,699,0,7675000,1214520642,293800000,0.52,8.58
1394/04/10,3231,243,1386613,4401000,397551000,66400000,0.07,0.79
1394/04/10,3232,506,7008165,3635000,479226000,172600000,0.02,1.54
1394/04/10,3233,523,2593328,3540000,672040000,266400000,0.55,3.54
1394/04/10,3234,473,4889826,10034000,502388518,158250000,0.13,30.67
1394/04/10,3235,505,5228351,10355000,1100589000,218000000,0,0
1394/04/10,3554,90,0,4298000,70500000,28850000,0,0
1394/04/10,3787,256,0,3229000,341430000,118050000,2.33,9.92
1394/04/10,3788,328,0,5104000,418605000,139900000,0.51,9.63
1394/04/10,3789,107,0,35000,255600000,10350000,0,1.46
1394/04/10,3790,78,0,579000,123096000,57700000,0,0
1394/04/10,3792,385,70852185,1833000,616605000,142600000,0.04,0.17
1394/04/10,4015,35,2705336,340000,42613900,6400000,0,0.08
1394/04/10,4203,286,1527618,849000,331240000,119300000,0.21,1.01
1394/04/10,4337,461,11506301,5135000,1486681563,189950000,0,0
1394/04/10,4733,19,0,0,56500000,9400000,0,0.17
1394/04/10,4528,693,5663726,1936000,1019478600,295300000,0.55,2.29
1394/04/10,4529,823,2447738,5025000,862565642,359450000,0.27,2
1394/04/10,4540,151,0,4919000,124468000,39500000,0,0
1394/04/10,4541,154,3500000,1433000,233524642,56750000,0,0
1394/04/10,4594,243,1590000,1814000,525937000,76100000,0.04,0.17
1394/04/10,4595,367,6923226,2186000,968796000,120950000,0.13,0.58
1394/04/10,4431,347,2686613,1597000,288600000,158750000,0.01,0.08
1394/04/10,4432,454,4173820,3178000,673972405,175400000,0.03,0.17
1394/04/10,3901,118,0,70000,226105000,48600000,0,0
1394/04/10,3902,131,560000,1922000,77134000,32600000,0.04,0.17
1394/04/10,3442,371,4180091,7895000,1195593562,123500000,0,16
1394/04/10,3443,448,0,9166000,742362175,165100000,0.01,0.46
1394/04/10,3444,198,0,5340000,326950000,46100000,0,0
1394/04/10,3446,618,1666668,3875000,739306545,262450000,0.05,9.54
1394/04/10,3254,316,3507003,5045000,494330000,98500000,0,0
1394/04/10,3047,522,1040000,6507000,675177035,178600000,0.03,0.13
1394/04/10,3048,546,0,1226000,512166492,186100000,0.02,0.33
1394/04/10,3049,466,12370801,30291000,1170471118,165250000,0,0
1394/04/10,3050,526,3450131,4996000,1817302499,200600000,0.08,0.87
1394/04/10,3051,579,2439466,6354000,1652212409,204400000,0.32,1.33
1394/04/10,2737,411,20331418,1624000,1302168385,169000000,0.32,1.38
1394/04/10,2334,694,4522625,2923000,673661500,269250000,0.4,1.71
1394/04/10,2526,633,1700000,1140000,1061805245,287200000,0.14,0.58
1394/04/10,1949,933,3823115,6107000,1280239775,384400000,0.4,1.67
1394/04/10,1950,547,6859724,4861000,879113821,205300000,0.12,0.5
1394/04/10,1951,482,22295207,19238000,501443229,174800000,0,0
1394/04/10,1952,479,11020000,2922000,615752000,167500000,0,5.33
1394/04/10,1953,538,10100851,6576000,753945249,178200000,0,0.08
1394/04/10,1954,403,9088111,3613000,785460022,146500000,0.27,4.96
1394/04/10,1955,580,15922277,2822000,1645095921,205700000,0.11,0.58
1394/04/10,1957,572,1380000,4717000,1816152710,210400000,0.75,3.3
1394/04/10,1958,294,0,2064000,1069437000,98000000,0.01,0.04
1394/04/10,1959,381,500000,3092000,526980000,174700000,0.23,1.13
1394/04/10,1960,677,3404447,3465000,988122000,291700000,0.53,3.13
1394/04/10,1961,621,0,7726000,1014411800,251400000,0.37,1.54
1394/04/10,1962,904,1400000,1960000,2068314000,332200000,0.05,0.21
1394/04/10,1963,689,7433780,3562000,1943054348,285750000,0.09,5.42
1394/04/10,1964,640,0,8294000,687147133,213900000,0.33,3.59
1394/04/10,1965,744,13447872,4529000,824423000,289800000,0.14,0.58
1394/04/10,1966,762,0,11136000,1307939661,346000000,0.17,1.04
1394/04/10,1968,829,4214945,3132000,1472710654,376200000,0.34,1.5
1394/04/10,1969,428,4851209,460000,482126173,167200000,0,5.96
1394/04/10,1970,386,6559215,2415000,614730000,147800000,0,8.5
1394/04/10,1971,727,21878766,10142000,1165468311,310500000,0.09,0.38
1394/04/10,2738,420,22109938,1444000,1157854000,139400000,0.01,0.04
1394/04/10,2739,520,0,4824000,1974312048,156900000,0.35,1.54
1394/04/10,2740,587,14799169,3265000,1285125000,170300000,0,0
1394/04/10,3052,291,1400000,2616000,296540000,123400000,0.34,1.63
